,timestamp,report_week,operability_icu,power_outage_equipment_failure_specify,power_generator_available,power_outage_mortatility,power_outage_deaths_count,mortality_hospital_failure_cardiovascular_count,mortality_hospital_failure_cardiovascular_cause,mortality_hospital_failure_trauma_count,mortality_hospital_failure_trauma_cause,strike_medical_staff_affected,strike_nurses_affected,operability_icu_p,strike_other_staff_affected,strike_patients_affected,strike_other_affected,staff_violence_affected_reasons,epidemiological_emergency_suspected_diseases,rrt_avail_high_flow_catheters,rrt_avail_blood_tests_hiv_hvb_hvc_vdr,rrt_avail_immediate_access_urea_reduction_bun,nCoV_face_mask_avail,nCoV_respiratory_isolation_protocol_avail,operability_er,nCoV_isolation_area_avail,operability_sx,operability_lab,operability_uls,operability_ct_mri,operability_xr,er_avail_adrenalin,er_avail_atropine,hospital_code,er_avail_dopamine,er_avail_cephalosporins_betalactams,er_avail_aminoglycosides_quinolone,er_avail_vancomycin_clindamycin,er_avail_lidocaine,er_avail_minor_opioids,er_avail_major_opioids,er_avail_iv_fluids,er_avail_diazepam_dph,er_avail_heparin,federal_entity,er_avail_steroids,er_avail_insulin,er_avail_asthma,er_avail_blood_pressure,er_avail_defibrillator,er_avail_ott_intubation,er_avail_catheter,er_avail_oxygen_suction,sx_avail_minor_opioids,sx_avail_major_opioids,hospital_type,sx_avail_anesthetic_gases,sx_avail_anesthetics_iv,sx_avail_relaxants,sx_avail_ott_intubation,sx_avail_patient_lingerie_kit,sx_avail_disposables_mask_gloves_gown,sx_avail_oxygen_suction,rrt_avail,rrt_operability,rrt_date_stopped_operability,administrative_entity,rrt_reason_stopped_operability,rrt_avg_daily_patients,rrt_peritoneal_count,rrt_peritoneal_reason_not_performed,rrt_num_hemodialysis,rrt_num_hemodialysis_acute,rrt_num_hemodialysis_chronic,rrt_num_hemodialysis_equipments,rrt_num_hemodialysis_equipments_operability,rrt_hemodialysis_avail_filter,arch_beds_count,rrt_hemodialysis_avail_lines,rrt_hemodialysis_avail_kit_hemodialysis,rrt_hemodialysis_avail_iron,rrt_hemodialysis_avail_b_complex,rrt_hemodialysis_avail_calcium,rrt_hemodialysis_avail_zemblar,rrt_reverse_osmosis_unit_operability,rrt_staff_nephrology,rrt_staff_md,rrt_staff_resident,op_beds_count,rrt_staff_nurse,rrt_staff_nurse_nephrologist,nutr_avail,nutr_operability,nutr_date_stopped_operability,nutr_reason_stopped_operability,nutr_num,nutr_daily_freq_meal,nutr_quality,nutr_freq_milk_formulas,op_beds_er_count,pneumonia_antibiotic_therapy_latency,mi_thrombolytic_treatment_latency,er_staff_residents_and_rural_day_on_call,er_staff_specialist_day_on_call,er_staff_mic_day_on_call,er_staff_nurse_day_on_call,er_staff_non_professional_nurse_day_on_call,er_staff_residents_and_rural_night_on_call,er_staff_specialist_night_on_call,er_staff_mic_night_on_call,op_pavilions_count,er_staff_nurse_night_on_call,er_staff_non_professional_nurse_night_on_call,wash_failure_icu,wash_failure_er,wahs_failure_sx,power_outage,power_outage_avg_failures_per_day,power_outage_days_count,power_outage_avg_duration,power_outage_equipment_failure
0,2020-01-13T19:11:32.788Z,51 del 2019,Todos los días,,Funciona menos de 3 días,No,,0.0,,2.0,"Equipos, Medicamentos, Recurso Humano, Resto estructurales ( agua , O2 , succión)",,,Nunca ha existido,,,,Violencia contra personal de hospital por familiares,,,,,,,Todos los días,,Todos los días,No operativa,No operativa,Nunca ha existido,No operativa,No hubo,No hubo,AMA000,No hubo,Entre 1 y 2 días,No hubo,No hubo,Todos los días,No hubo,No hubo,No hubo,No hubo,Entre 3 y 5 días,Amazonas,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 3 y 5 días,No hubo,No hubo,Tipo II,Todos los días,Todos los días,Todos los días,Todos los días,Entre 3 y 5 días,Entre 1 y 2 días,Todos los días,Sí,No,Mas de 1 año,MPPS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,170,,,,,,,,,,,58,,,Sí,Sí,,,Ningún día,Se sirven menos de 3 comidas al día,No se siguen recomendaciones del especialista en cuanto al menú que se sirve,Hubo formulas lácteas menos de 3 días,32,1899-12-30T09:00:00.000Z,1899-12-30T04:00:00.000Z,1,2,2,2,1,1,1,2,01,2,0,No hubo agua ningún dia,No hubo agua ningún dia,No hubo agua ningún dia,Si,2,Entre 3 y 5 días,1899-12-31T08:00:00.000Z,No
1,2019-06-14T21:14:15.397Z,22 del 2019,Todos los días,,Funciona menos de 3 días,No,,1.0,"Equipos, Medicamentos, Recurso Humano",0.0,,,,Nunca ha existido,,,,"Robos , hurtos o disparos dentro del centro asistencial.",,,,,,,Todos los días,,Todos los días,Menos de 3 de días,No operativa,Nunca ha existido,No operativa,No hubo,No hubo,AMA000,No hubo,Entre 3 y 5 días,No hubo,No hubo,Todos los días,Entre 1 y 2 días,No hubo,Entre 3 y 5 días,No hubo,No hubo,Amazonas,No hubo,No hubo,Entre 3 y 5 días,Entre 1 y 2 días,Todos los días,Todos los días,No hubo,Entre 3 y 5 días,Entre 3 y 5 días,No hubo,Tipo II,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Sí,No,Mas de 1 año,MPPS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,170,,,,,,,,,,,83,,,Sí,Sí,,,Todos los días,Se sirven menos de 3 comidas al día,No se siguen recomendaciones del especialista en cuanto al menú que se sirve,No hubo fórmulas lácteas ningún día,35,1899-12-30T18:00:00.000Z,1900-01-02T00:00:00.000Z,1,2,2,2,1,0,1,3,01,2,0,No hubo agua ningún dia,No hubo agua ningún dia,No hubo agua ningún dia,Si,1,Entre 3 y 5 días,1899-12-30T05:00:00.000Z,No
2,2019-08-25T02:13:40.031Z,33 del 2019,Todos los días,,Funciona menos de 3 días,No,0.0,0.0,,0.0,,,,Nunca ha existido,,,,,,,,,,,Todos los días,,Todos los días,Menos de 3 de días,No operativa,Nunca ha existido,No operativa,No hubo,No hubo,AMA000,No hubo,No hubo,No hubo,No hubo,Todos los días,No hubo,No hubo,No hubo,No hubo,Entre 3 y 5 días,Amazonas,No hubo,Entre 1 y 2 días,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 3 y 5 días,No hubo,No hubo,Tipo II,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,No hubo,Todos los días,Sí,No,Mas de 1 año,MPPS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,170,,,,,,,,,,,84,,,Sí,Sí,,,Todos los días,Se sirven menos de 3 comidas al día,No se siguen recomendaciones del especialista en cuanto al menú que se sirve,No hubo fórmulas lácteas ningún día,37,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z,1,5,2,3,2,1,2,2,01,3,0,No hubo agua ningún dia,No hubo agua ningún dia,No hubo agua ningún dia,Si,2,Entre 3 y 5 días,1899-12-30T03:00:00.000Z,No
3,2019-08-20T22:01:04.247Z,29 del 2019,Todos los días,,Funciona entre 3 y 5 días,No,,0.0,,1.0,"Equipos, Medicamentos, Recurso Humano, Resto estructurales ( agua , O2 , succión)",,,Nunca ha existido,,,,,,,,,,,Todos los días,,Todos los días,Menos de 3 de días,No operativa,Nunca ha existido,No operativa,No hubo,No hubo,AMA000,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,No hubo,No hubo,Entre 1 y 2 días,Amazonas,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 3 y 5 días,Entre 1 y 2 días,No hubo,Tipo II,Todos los días,Todos los días,Todos los días,Todos los días,No hubo,Entre 1 y 2 días,Todos los días,Sí,No,Mas de 1 año,MPPS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,170,,,,,,,,,,,72,,,Sí,Sí,,,Todos los días,Se sirven menos de 3 comidas al día,No se siguen recomendaciones del especialista en cuanto al menú que se sirve,No hubo fórmulas lácteas ningún día,38,1900-01-02T00:00:00.000Z,1899-12-30T18:00:00.000Z,1,2,2,3,2,1,2,2,01,2,1,"3 a 5 días , sin soporte  alterno","3 a 5 días , sin soporte  alterno","3 a 5 días , sin soporte  alterno",Si,1,Menos de 3 días,1899-12-30T03:00:00.000Z,No
4,2020-01-27T21:20:36.881Z,3 del 2020,Todos los días,,Funciona menos de 3 días,No,,2.0,"Equipos, Medicamentos, Recurso Humano, Resto estructurales ( agua , O2 , succión)",0.0,,,,Nunca ha existido,,,,"Violencia contra personal de hospital por familiares, Robos , hurtos o disparos dentro del centro asistencial.",TBC en personal de salud,,,,Option 1,No,Todos los días,No,Todos los días,No operativa,No operativa,Nunca ha existido,No operativa,No hubo,No hubo,AMA000,No hubo,Entre 1 y 2 días,No hubo,No hubo,Todos los días,No hubo,No hubo,Entre 1 y 2 días,No hubo,Entre 3 y 5 días,Amazonas,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,Entre 3 y 5 días,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,No hubo,Tipo II,Todos los días,Todos los días,Todos los días,Todos los días,Entre 1 y 2 días,No hubo,Entre 3 y 5 días,Sí,No,Mas de 1 año,MPPS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,170,,,,,,,,,,,56,,,Sí,Sí,,,Entre 1 y 2 días,Se sirven menos de 3 comidas al día,No se siguen recomendaciones del especialista en cuanto al menú que se sirve,Hubo formulas lácteas menos de 3 días,26,1899-12-30T07:00:00.000Z,1899-12-30T04:00:00.000Z,1,3,3,3,1,2,2,2,01,3,0,No hubo agua ningún dia,No hubo agua ningún dia,No hubo agua ningún dia,Si,2,Entre 3 y 5 días,1899-12-30T09:00:00.000Z,No
5,2019-08-25T02:24:44.452Z,34 del 2019,Todos los días,,Hay pero no funciona,No,0.0,2.0,"Equipos, Medicamentos, Recurso Humano, Resto estructurales ( agua , O2 , succión)",0.0,,,,Nunca ha existido,,,,,,,,,,,Todos los días,,Todos los días,Menos de 3 de días,No operativa,Nunca ha existido,No operativa,No hubo,No hubo,AMA000,No hubo,No hubo,No hubo,No hubo,Entre 3 y 5 días,No hubo,No hubo,No hubo,No hubo,No hubo,Amazonas,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 3 y 5 días,No hubo,No hubo,Tipo II,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,No hubo,Todos los días,Sí,No,Mas de 1 año,MPPS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,170,,,,,,,,,,,69,,,Sí,Sí,,,Entre 3 y 5 días,Se sirven menos de 3 comidas al día,No se siguen recomendaciones del especialista en cuanto al menú que se sirve,No hubo fórmulas lácteas ningún día,36,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z,1,4,2,3,2,1,2,2,01,2,1,"3 a 5 días , sin soporte  alterno","3 a 5 días , sin soporte  alterno","3 a 5 días , sin soporte  alterno",Si,1,Menos de 3 días,1899-12-30T06:45:00.000Z,No
6,2019-10-22T18:03:12.451Z,40 del 2019,Todos los días,,Funciona entre 3 y 5 días,No,,0.0,,0.0,,,,Nunca ha existido,,,,,TBC en personal de salud,,,,,,Todos los días,,Todos los días,No operativa,No operativa,Nunca ha existido,No operativa,No hubo,No hubo,AMA000,No hubo,No hubo,No hubo,No hubo,Todos los días,No hubo,No hubo,Entre 1 y 2 días,No hubo,Entre 3 y 5 días,Amazonas,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,No hubo,No hubo,Entre 3 y 5 días,No hubo,No hubo,Tipo II,Todos los días,Todos los días,Todos los días,Todos los días,Entre 1 y 2 días,No hubo,Todos los días,Sí,No,Mas de 1 año,MPPS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,170,,,,,,,,,,,52,,,Sí,Sí,,,Entre 3 y 5 días,Se sirven menos de 3 comidas al día,No se siguen recomendaciones del especialista en cuanto al menú que se sirve,Hubo formulas lácteas menos de 3 días,21,1900-01-02T00:00:00.000Z,1899-12-30T06:00:00.000Z,1,4,3,2,1,1,3,2,01,3,0,"3 a 5 días , sin soporte  alterno","3 a 5 días , sin soporte  alterno","3 a 5 días , sin soporte  alterno",Si,4,Entre 3 y 5 días,1899-12-30T00:10:00.000Z,No
7,2019-07-16T18:06:19.251Z,27 del 2019,Todos los días,,Hay pero no funciona,No,0.0,0.0,,0.0,,,,Nunca ha existido,,,,"Robos , hurtos o disparos dentro del centro asistencial.",,,,,,,Todos los días,,Todos los días,Entre 3 y 5 días,No operativa,Nunca ha existido,No operativa,No hubo,No hubo,AMA000,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,No hubo,No hubo,No hubo,No hubo,Amazonas,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,No hubo,Tipo II,Todos los días,Todos los días,Todos los días,Todos los días,No hubo,No hubo,Todos los días,Sí,No,Mas de 1 año,MPPS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,170,,,,,,,,,,,75,,,Sí,Sí,,,Todos los días,Se sirven menos de 3 comidas al día,No se siguen recomendaciones del especialista en cuanto al menú que se sirve,No hubo fórmulas lácteas ningún día,36,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z,0,2,2,2,1,1,2,2,01,3,0,No hubo agua ningún dia,No hubo agua ningún dia,No hubo agua ningún dia,Si,1,Menos de 3 días,1899-12-30T07:00:00.000Z,No
8,2019-11-29T19:16:53.296Z,46 del 2019,Todos los días,,Hay pero no funciona,No,,2.0,"Equipos, Medicamentos, Recurso Humano, Resto estructurales ( agua , O2 , succión)",1.0,"Equipos, Medicamentos, Recurso Humano, Resto estructurales ( agua , O2 , succión)",,,Nunca ha existido,,,,"Robos , hurtos o disparos dentro del centro asistencial.",TBC en personal de salud,,,,,,Todos los días,,Todos los días,No operativa,No operativa,Nunca ha existido,No operativa,No hubo,No hubo,AMA000,No hubo,No hubo,No hubo,No hubo,Entre 3 y 5 días,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,Amazonas,No hubo,Entre 3 y 5 días,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,No hubo,Tipo II,Todos los días,Todos los días,Todos los días,Todos los días,Entre 1 y 2 días,No hubo,Todos los días,Sí,No,Mas de 1 año,MPPS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,170,,,,,,,,,,,47,,,Sí,Sí,,,Todos los días,Se sirven menos de 3 comidas al día,No se siguen recomendaciones del especialista en cuanto al menú que se sirve,No hubo fórmulas lácteas ningún día,25,1900-01-02T00:00:00.000Z,1899-12-30T13:00:00.000Z,1,5,2,3,2,1,2,2,01,3,1,"< 3 días, sin soporte alterno (cisternas)","< 3 días, sin soporte alterno (cisternas)","< 3 días, sin soporte alterno (cisternas)",Si,3,Entre 3 y 5 días,1899-12-30T06:00:00.000Z,No
9,2020-01-13T19:25:12.504Z,1 del 2020,Todos los días,,Funciona menos de 3 días,No,,0.0,,0.0,,,,Nunca ha existido,,,,,,,,,,,Todos los días,,Todos los días,No operativa,No operativa,Nunca ha existido,No operativa,No hubo,No hubo,AMA000,No hubo,No hubo,No hubo,No hubo,Entre 3 y 5 días,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,Amazonas,No hubo,No hubo,No hubo,No hubo,No hubo,Todos los días,No hubo,No hubo,No hubo,No hubo,Tipo II,Todos los días,Todos los días,Todos los días,Todos los días,Entre 1 y 2 días,No hubo,Todos los días,Sí,No,Mas de 1 año,MPPS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,170,,,,,,,,,,,43,,,Sí,Sí,,,Entre 1 y 2 días,Se sirven menos de 3 comidas al día,No se siguen recomendaciones del especialista en cuanto al menú que se sirve,No hubo fórmulas lácteas ningún día,19,1900-01-02T00:00:00.000Z,1899-12-30T16:00:00.000Z,1,2,2,2,1,1,2,2,01,3,0,No hubo agua ningún dia,No hubo agua ningún dia,No hubo agua ningún dia,Si,1,Menos de 3 días,1899-12-30T08:00:00.000Z,No
